query1,query2,k,result
fiction,destroy,12,11-15/15.txt
happy,devil,11,
hope,angel,6,
love,dream,15,1-10/6-10/10 18
moment,experience,15,18
power,extreme,10,11-15/11.txt
reason,flame,10,17
silent,footsteps,12,16
story,forgive,7,
woman,form,15,
alive,glow,12,
become,help,9,18
believe,horror,6,
closer,hunger,11,
human,joy,15,1-10/6-10/8
living,land,10,
matter,laugh,11,16 18 17
window,legend,5,
ago,life,6,
air,madness,10,
bed,marry,15,
calm,maze,9,
clothes,melt,8,
fire,mercy,11,17
man,mermaid,15,
woman,miss,5,
maya,nerves,13,
past,nightmare,15,
sense,nobody,10,
thoughts,normal,13,
within,nowhere,14,17
without,ocean,14,16
yourself,palace,13,
above,perfect,9,16
alone,play,7,11-15/11.txt
feel,question,11,18
home,reality,7,
please,sacred,5,
red,shadow,6,17
smile,shape,7,
tears,shawl,11,11-15/13.txt 18
water,sign,10,17
shelter,sight,10,
waterfall,sky,7,
weeping,snow,13,
advice,somewhere,13,
aflame,sorrow,6,11-15/14.txt
ancient,tea,12,
witness,terror,15,1-10/6-10/9
truth,thirst,14,17
trembling,thunder,12,11-15/13.txt 16
action,wild,12,
balcony,violent,9,
becoming,void,14,
beyond,gentle,7,11-15/12.txt
consciousness,binary,15,
constant,zoo,13,
curse,biology,12,
desire,complexity,7,
habib,index,10,
